"temp","F","p","adj_r2","n","df_resid"
20,8.32316643512934,0.000331913419929517,0.392526279099179,35,31
24,9.78424682393246,9.88050804189528e-05,0.429528335150916,36,32
28,9.27900236388466,0.000145619014359587,0.415077696877627,36,32
30,35.2295589488356,2.95732215725054e-10,0.745803352885601,36,32
32,58.1453196507972,4.74319835998514e-13,0.830455894517526,36,32
34,52.6424013770658,1.78645730306558e-12,0.815718868920838,36,32
36,16.5754632845867,1.11997218646671e-06,0.571741758535665,36,32
