"Species","E_mean","E_sd","E_se","r2_mean","n","n_sig"
"Pdarw",0.811227065209919,0.077952144421819,0.0259840481406063,0.91057349918453,9,8
"Mplan",0.59354931439391,0.055186124124035,0.0183953747080117,0.824558455882913,9,7
"Bgran",0.379641016526712,0.118359118421234,0.0394530394737446,0.864581505319909,9,7
"Tcocc",0.350911174038721,0.05506837300065,0.01835612433355,0.6593898651601,9,3
