"","ID","Intercept","umol.L.sec","Temp.C"
"1","Bgran_1_20C",198.68602486631,-0.00273550207961973,20.1646181818182
"2","Bgran_1_24C",200.607628251541,-0.00427848745404948,24.128358490566
"3","Bgran_1_28C",181.268126951725,-0.00602153347924337,28.0398655913978
"4","Bgran_1_30C",165.859063788901,-0.00529895481814776,29.7845316455696
"5","Bgran_1_32C",160.800688536259,-0.00603391778496098,32.0475208333333
"6","Bgran_1_34C",151.580663710307,-0.00757653043237387,34.0204642857143
"7","Bgran_1_36C",146.663770651737,-0.0081235692415362,36.1816382978723
"8","Bgran_10_20C",199.245598372989,-0.00248824622777656,20.1086123348018
"9","Bgran_10_24C",199.945344438801,-0.00441721087146052,24.1736355140187
"10","Bgran_10_28C",180.628900722492,-0.00736174334106607,28.0055210526316
"11","Bgran_10_30C",162.144862849832,-0.00600504391697322,29.8082929936306
"12","Bgran_10_32C",159.38718608271,-0.00664211073950204,31.9711313131313
"13","Bgran_10_34C",149.964174025974,-0.00788831168831165,33.9546781609195
"14","Bgran_10_36C",145.34016225307,-0.00795407020839855,36.1079898989899
"15","Bgran_2_20C",220.27849677499,-0.00209586303297894,20.1570088495575
"16","Bgran_2_24C",202.572765804528,-0.00273075497542504,24.1617904761905
"17","Bgran_2_28C",182.407718033491,-0.00460832975525977,28.0879946236559
"18","Bgran_2_30C",170.364160513626,-0.00361626252012379,29.8946835443038
"19","Bgran_2_32C",161.887418818283,-0.00405240643414556,32.0615656565657
"20","Bgran_2_34C",152.978601551068,-0.00543912788996188,33.9478505747126
"21","Bgran_2_36C",147.214867293907,-0.00508517985151042,36.1590638297872
"22","Bgran_3_20C",213.554083694808,-0.00435201144520369,20.0984757709251
"23","Bgran_3_24C",198.163669249979,-0.00529201738227808,24.1071935483871
"24","Bgran_3_28C",180.679041434692,-0.00803813231884676,28.0028638743456
"25","Bgran_3_30C",161.992724264974,-0.00593187763978806,29.8408301886792
"26","Bgran_3_32C",150.194271115812,-0.00739898466419883,32.1139494949495
"27","Bgran_3_34C",151.840322951162,-0.00860873589378846,33.9140344827586
"28","Bgran_3_36C",137.195862901961,-0.00675149924585214,36.1044848484849
"29","Bgran_4_20C",216.341634609504,-0.00357295540587975,20.1075991189427
"30","Bgran_4_24C",191.289746644103,-0.00465515257467696,24.0538461538462
"31","Bgran_4_28C",178.374262158857,-0.00637233421750664,28.0380322580645
"32","Bgran_4_30C",161.590870198781,-0.00548379382679053,29.7982405063291
"33","Bgran_4_32C",157.182552478905,-0.00649209101213215,32.0234848484848
"34","Bgran_4_34C",148.341934883338,-0.00621764621235483,34.0172068965517
"35","Bgran_4_36C",136.284136066253,-0.00607271221532089,36.1144242424242
"36","Bgran_6_20C",212.649325570697,-0.00432557069748721,20.2110132743363
"37","Bgran_6_24C",199.335220102473,-0.00636481647145041,24.2035514018692
"38","Bgran_6_28C",177.654290979749,-0.00892147210507792,28.1357643979058
"39","Bgran_6_30C",160.513720679677,-0.00836434011621177,29.8636835443038
"40","Bgran_6_32C",155.534560716876,-0.00925121578806731,32.1163225806452
"41","Bgran_6_34C",151.660474096446,-0.00688333836705933,33.9995492957746
"42","Bgran_6_36C",137.409745396825,-0.00804236652236654,36.312797979798
"43","Bgran_7_20C",211.936356907162,-0.00277896441804983,20.1881719457014
"44","Bgran_7_24C",199.218795467155,-0.00437753145251333,24.1784392523364
"45","Bgran_7_28C",179.005115837342,-0.0067368725456024,28.1123926701571
"46","Bgran_7_30C",162.196658065518,-0.00536029953201587,29.9023924050633
"47","Bgran_7_32C",142.988207653359,-0.00661967867575463,32.1454
"48","Bgran_7_34C",146.865376268309,-0.00745997564624427,34.0503373493976
"49","Bgran_7_36C",135.981339449656,-0.00800417761100686,36.2996307692308
"50","Bgran_8_20C",216.649230065628,-0.00289622115958291,20.0912864583333
"51","Bgran_8_24C",199.735249840357,-0.00352393736400404,24.0712663551402
"52","Bgran_8_28C",172.446558428287,-0.00460212967986983,28.0178771929825
"53","Bgran_8_30C",164.709359565138,-0.00452177239363523,29.8508670886076
"54","Bgran_8_32C",156.193242933948,-0.00508857206861237,31.9212837837838
"55","Bgran_8_34C",151.427616802816,-0.00604239325738629,34.032578313253
"56","Bgran_8_36C",145.976441545059,-0.00566939964157708,36.0950707070707
"57","Bgran_9_20C",213.069919907822,-0.00449086868686868,20.0975619469027
"58","Bgran_9_24C",197.642564988161,-0.00578705118086334,24.0982336448598
"59","Bgran_9_28C",176.076348751195,-0.00763668454530157,28.0162210526316
"60","Bgran_9_30C",160.675726769319,-0.00644044941352192,29.8737848101266
"61","Bgran_9_32C",156.26109857722,-0.00839977839893232,31.9374848484848
"62","Bgran_9_34C",150.807309592075,-0.00983682109557112,34.0550689655172
"63","Bgran_9_36C",145.09083950027,-0.00844173710122656,36.1419090909091
"64","BgranBk_5_20C",214.464321695147,-0.000223882433356085,20.0910220264317
"65","BgranBk_5_24C",206.305079608011,-0.000925923650255134,24.1851057692308
"66","BgranBk_5_28C",186.414257623511,-0.00204435800427671,28.0769581151832
"67","BgranBk_5_30C",173.922204467766,-0.000897184565611944,29.8231455696203
"68","BgranBk_5_32C",169.002048025536,-0.00104073610839682,32.0930204081633
"69","BgranBk_5_34C",158.995148179687,-0.00164651363692463,33.9711494252874
"70","BgranBk_5_36C",151.046542948718,-0.0014977564102564,36.1796666666667
"71","Mplan_1_20C",170.661055237027,-0.00430583575847205,19.8865705128205
"72","Mplan_1_24C",197.72466001638,-0.00603903825903825,23.8526062992126
"73","Mplan_1_28C",184.95137562087,-0.0105307814992026,27.999595505618
